id,filename,unified_role,original_titles,category_folder,file_path,word_count,source,status,labeled
clean_0000,resume_0000.txt,Backend Developer,Python Developer,backend_developer,data/collected_resumes/backend_developer/resume_0000.txt,274,huggingface,cleaned,True
clean_0001,resume_0001.txt,DevOps/Cloud Engineer,DevOps Engineer,devops_cloud_engineer,data/collected_resumes/devops_cloud_engineer/resume_0001.txt,447,huggingface,cleaned,True
clean_0002,resume_0002.txt,Backend Developer,Python Developer,backend_developer,data/collected_resumes/backend_developer/resume_0002.txt,402,huggingface,cleaned,True
clean_0003,resume_0003.txt,Backend Developer,Python Developer,backend_developer,data/collected_resumes/backend_developer/resume_0003.txt,201,huggingface,cleaned,True
clean_0004,resume_0004.txt,Backend Developer,Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0004.txt,416,huggingface,cleaned,True
clean_0005,resume_0005.txt,Backend Developer,"Java Developer, Java Developer",backend_developer,data/collected_resumes/backend_developer/resume_0005.txt,361,huggingface,cleaned,True
clean_0006,resume_0006.txt,Backend Developer,Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0006.txt,342,huggingface,cleaned,True
clean_0007,resume_0007.txt,Backend Developer,Jr. Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0007.txt,152,huggingface,cleaned,True
clean_0008,resume_0008.txt,DevOps/Cloud Engineer,Devops Engineer,devops_cloud_engineer,data/collected_resumes/devops_cloud_engineer/resume_0008.txt,359,huggingface,cleaned,True
clean_0009,resume_0009.txt,Backend Developer,"Java Developer, Java Developer",backend_developer,data/collected_resumes/backend_developer/resume_0009.txt,405,huggingface,cleaned,True
clean_0010,resume_0010.txt,Data Scientist,Data Science Consultant,data_scientist,data/collected_resumes/data_scientist/resume_0010.txt,260,huggingface,cleaned,True
clean_0011,resume_0011.txt,Backend Developer,"Python Developer/analyst, Python Developer/analyst",backend_developer,data/collected_resumes/backend_developer/resume_0011.txt,318,huggingface,cleaned,True
clean_0012,resume_0012.txt,Backend Developer,"Java Developer, Trainer",backend_developer,data/collected_resumes/backend_developer/resume_0012.txt,461,huggingface,cleaned,True
clean_0013,resume_0013.txt,Backend Developer,Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0013.txt,336,huggingface,cleaned,True
clean_0014,resume_0014.txt,Machine Learning Engineer,Machine Learning Engineer Intern,machine_learning_engineer,data/collected_resumes/machine_learning_engineer/resume_0014.txt,340,huggingface,cleaned,True
clean_0015,resume_0015.txt,Backend Developer,Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0015.txt,309,huggingface,cleaned,True
clean_0016,resume_0016.txt,Backend Developer,Java Developer,backend_developer,data/collected_resumes/backend_developer/resume_0016.txt,193,huggingface,cleaned,True
clean_0017,resume_0017.txt,Data Analyst,"Senior Business Analyst - RPA, Business Analyst, Business Analyst",data_analyst,data/collected_resumes/data_analyst/resume_0017.txt,578,huggingface,cleaned,True
